space_name,phase,visit_type,Event,Action,Outcome,w_card,b_card,i_card,l_card,e_card,Time,Fee,space_1,space_2,space_3,space_4,space_5,Negotiate,requires_dice_roll,path,rolls
ARCH-FEE-REVIEW,DESIGN,First,Architect negotiates their initial fees.,Everyone wants money from you! You paid a big chunk so now you have to save a little by cutting your staff.,,,,,Draw 1 if you roll a 3,Return 1,50 days,,ARCH-SCOPE-CHECK,,,,,YES,Yes,Main,1
ARCH-FEE-REVIEW,DESIGN,Subsequent,Architect negotiates additional architect fees.,You cross your fingers and wait for life to dump on you. You will need a friend in need.,,,,,Draw 1 if you roll a 4,Draw 1,15 days,,ARCH-SCOPE-CHECK,,,,,YES,Yes,Main,1
ARCH-SCOPE-CHECK,DESIGN,First,Architect 's team finished their design. Today you are attending the final presentation. ,The architect takes their time to get to the initial design scope determination.,,,,,Draw 1 if you roll a 5,Replace 1,50 days,,PM-DECISION-CHECK,ENG-INITIATION,,,,YES,Yes,Main,1
ARCH-SCOPE-CHECK,DESIGN,Subsequent,Architect subsequent design review determination.,Roll for outcome.,,,,,Draw 1 if you roll a 6,The person to your right takes a card.,15 days,,PM-DECISION-CHECK,ENG-INITIATION,,,,YES,Yes,Main,1
ENG-INITIATION,DESIGN,First,You are searching for the engineer.,More phone calls and qualification reviews… in the mean time others play…as you roll for outside influence card. ,,,,,Draw 1 if you roll a 1,,5 days,,ENG-FEE-REVIEW,,,,,NO,Yes,Main,1
ENG-INITIATION,DESIGN,Subsequent,Engineer glances over files to determine if change to drawings is needed. ,You try to read the engineers lips before he tells you your path.,,,,,Draw 1 if you roll a 2,,5 days,,Outcome from rolled dice,,,,,YES,Yes,Main,1
ENG-FEE-REVIEW,DESIGN,First,Engineer negotiates their initial fees.,Every penny counts - you get your best man involved.,,,,,Draw 1 if you roll a 3,,50 days,,ENG-SCOPE-CHECK,,,,,YES,Yes,Main,1
ENG-FEE-REVIEW,DESIGN,Subsequent,Engineer negotiates additional architect fees.,How do we make this sound like it is included in the original fee? ,,,,,Draw 1 if you roll a 4,,15 days,,ENG-SCOPE-CHECK,,,,,YES,Yes,Main,1
ENG-SCOPE-CHECK,DESIGN,First,Engineer's team finished their design. Time for another final presentation. ,I am not building a rocket ship. Why is this taking so long? What will the design be?,,,,,Draw 1 if you roll a 5,,50 days,,PM-DECISION-CHECK,REG-DOB-FEE-REVIEW,,,,YES,Yes,Main,1
ENG-SCOPE-CHECK,DESIGN,Subsequent,Engineer subsequent design review determination.,The roll of drawings you got does not look any different. You wonder if there are changes. ,,,,,Draw 1 if you roll a 6,,15 days,,PM-DECISION-CHECK,REG-DOB-FEE-REVIEW,,,,YES,Yes,Main,1
OWNER-DECISION-REVIEW,OWNER,First,Some decisions require owners input. Especially when owner wants it THEIR WAY. ,The owners ponder and tell you their plans.,,,,,Draw 1 if you roll a 1,,10 days,,PM-DECISION-CHECK,,,,,YES,Yes,side Quest scope,1
OWNER-DECISION-REVIEW,OWNER,Subsequent,It has been a while since last review. Time is running out and owner just wants to see the finish line.,Impatintly the owners hear you out and come to a quick decision. ,,,,,Draw 1 if you roll a 2,,5 days,,PM-DECISION-CHECK,,,,,YES,Yes,side quest scope,1
CHEAT-BYPASS,OWNER,First,Let's get this shit done at any cost! they said… So you are looking to cut a few days off the top.,You are nervous - the odds are not in your favor.,,,,,Draw 1 if you roll a 3,Return 1,,,,,,,,No,Yes,side quest cheat,1
CHEAT-BYPASS,OWNER,Subsequent,Cheating last time did not go so well. You still want to try but are a lot more carefull. ,Review path and fees are determined by 1 dice roll.,,,,,Draw 1 if you roll a 4,Return 1 ,,,,,,,,No,Yes,side quest cheat,1
REG-DOB-FEE-REVIEW,REGULATORY,First,Owner pays DOB fees.,Fork over the cash…And hire a few staff.,,,,,Draw 1 if you roll a 5,Draw 2,10 days,1%,REG-DOB-TYPE-SELECT,,,,,NO,Yes,Main,1
REG-DOB-FEE-REVIEW,REGULATORY,Subsequent,Determine if additional fees are due to Department of Buildings.,hope not to fork over more cash…And replace staff.,,,,,Draw 1 if you roll a 6,Replace 1,10 days,Based on dice roll,REG-DOB-TYPE-SELECT,,,,,YES,Yes,Main,1
REG-DOB-TYPE-SELECT,REGULATORY,First,Project manager chooses (slow and low risk) or (fast and high risk) path at DOB.,You have a choice to say Plan Exam (slow) or Prof Cert (fast).,,,,,Draw 1 if you roll a 1,,10 days,,REG-DOB-PLAN-EXAM,REG-DOB-PROF-CERT,,,,No,No,Single choice,
REG-DOB-TYPE-SELECT,REGULATORY,Subsequent,Waiting tor Clerks to process files or for appointment.,Hurry Up and Wait…,,,,,Draw 1 if you roll a 2,,10 days,,Option from first visit,Option from first visit,,,,No,No,Single choice,
REG-DOB-PLAN-EXAM,REGULATORY,First,Plan examiner takes time to do first review.,You try to sound like you knw the code and wait for their determination.,,,,,Draw 1 if you roll a 3,,10 days,,,,,,,YES,Yes,Regular,1
REG-DOB-PLAN-EXAM,REGULATORY,Subsequent,Plan examiner rushes through the review.,You stay qiuet and only speak when spoken to - which stamp will he use approval or denial?,,,,,Draw 1 if you roll a 4,,10 days,,,,,,,YES,Yes,Regular,1
REG-DOB-PROF-CERT,REGULATORY,First,DOB Clerk almost notices your existance while processing your papaerwork. ,You chew your gum intently hoping no errors are done in data entry. ,,,,,,,1 day,,,,,,,No,Yes,Prof,1
REG-DOB-PROF-CERT,REGULATORY,Subsequent,DOB Clerk greets you by saying -You again?- and processes your paper work,You hope that this time the expeditor filled out the forms correctly… after all you paid almost a grand. ,,,,,,,1 day,,,,,,,No,Yes,Prof,1
REG-DOB-AUDIT,REGULATORY,First,Nerdy auditor cites from memory ZR-23.5 while auditing your application.,You got home after a long day at Department of Buildings and you find that your job was audited - where did we go wrong?,,,,,Draw 1 if you roll a 5,,10 days,,REG-DOB-PLAN-EXAM,,,,,YES,Yes,Prof,1
REG-DOB-AUDIT,REGULATORY,Subsequent,Auditor notices the number of objections fixed and continues with audit. ,We almost had it and now it is down to the last few objections. Will they pass?,,,,,Draw 1 if you roll a 6,,10 days,,REG-DOB-PLAN-EXAM,,,,,YES,Yes,Prof,1
REG-FDNY-FEE-REVIEW,REGULATORY,First,FDNY Clerk checks to see if job review needs to be done.,You have to answer a maze of questions to get out of gere. ,,,,,,,1 day,1%,Did you pass FDNY approval before? YES - Space 2 - NO - Space 3,Did the scope change since the last visit? YES - REG-FDNY-PLAN-EXAM - NO - Space 3,Did Department of Buildings send you here? YES - REG-FDNY-PLAN-EXAM - NO - Space 4,Do you have: sprinklers / standpipe / fire alarm / fire suppression? YES - REG-FDNY-PLAN-EXAM - NO - Space 5,Do you have  DOB approval? YES - PM-DECISION-CHECK or CON-INITIATION NO - REG-DOB-TYPE-SELECT,No,No,LOGIC,
REG-FDNY-FEE-REVIEW,REGULATORY,Subsequent,FDNY Clerk checks to see if job review needs to be done.,Assess 4 criteria.,,,,,,,1 day,,Did you pass FDNY approval before? YES - Space 2 - NO - Space 3,Did the scope change since the last visit? YES - REG-FDNY-PLAN-EXAM - NO - Space 3,Did Department of Buildings send you here? YES - REG-FDNY-PLAN-EXAM - NO - Space 4,Do you have: sprinklers / standpipe / fire alarm / fire suppression? YES - REG-FDNY-PLAN-EXAM - NO - Space 5,Do you have  DOB approval? YES - PM-DECISION-CHECK or CON-INITIATION NO - REG-DOB-TYPE-SELECT,No,No,LOGIC,
REG-FDNY-PLAN-EXAM,REGULATORY,First,Plan examiner takes time to do first review.,You try to sound like you know the code and wait for their determination.,,,,,Draw 1 if you roll a 1,,10 days,,,,,,,YES,Yes,Main,1
REG-FDNY-PLAN-EXAM,REGULATORY,Subsequent,Plan examiner rushes through the review.,You stay qiuet and only speak when spoken to - which stamp will he use approval or denial?,,,,,Draw 1 if you roll a 2,,5 days,,,,,,,NO,Yes,Main,1
CON-INITIATION,CONSTRUCTION,First,The contractor has to be chosen to finaly make your dreams come true.,You roll 2 times (1st quality of Contractor) (2nd multiplier) and than you do a lot of math.,,,,,Draw 1 if you roll a 3,Draw 3 ,,,CON-ISSUES,,,,,YES,Yes,Main,2
CON-INITIATION,CONSTRUCTION,Subsequent,Project Manager negotiates a change order.,Now we negotiate time extension.,,,,,Draw 1 if you roll a 4,Draw 1,,,CON-ISSUES,,,,,YES,Yes,Main,2
CON-ISSUES,CONSTRUCTION,First,Construction many time unearths unforseen issues in the field.,You attempt to resolve everything on the spot because delays are expensive.,,,,,Draw 1 if you roll a 5,Replace 1,,,,,,,,No,Yes,Main,1
CON-ISSUES,CONSTRUCTION,Subsequent,Problems never stop at a construction site - but every day counts.,Once again you try to prevent issues. No time for delays.,,,,,Draw 1 if you roll a 6,The person to your right takes a card.,,,,,,,,No,Yes,Main,1
CON-INSPECT,CONSTRUCTION,First,That inspector looks fresh this is eiter good or bad news.,You notice a safety violation and distract the inspector making him look the other way - will it work?,,,,,Draw 1 if you roll a 1,Return 1,,,,,,,,No,Yes,Main,1
CON-INSPECT,CONSTRUCTION,Subsequent,Inspector Johnes never liked you; but at least he tries to be fair. ,Luckily the Frank's team just finished in time for this inspection. You think it should be smooth saling.,,,,,Draw 1 if you roll a 2,Draw 2 ,,,,,,,,No,Yes,Main,1
REG-DOB-FINAL-REVIEW,REGULATORY,First,"The clerks are having a bitrtday party. Everything is delayed an hour",At least the clerks will be happy - you think when you hand in the final files. ,,,,,Draw 1 if you roll a 3,Draw 3 ,,,,,,,,YES,Yes,Main,1
REG-DOB-FINAL-REVIEW,REGULATORY,Subsequent,the supervisor is consoling one of the clerks - everything is slow again.,Worst part is everyone seems in bad mood. Will they notice the photocopy instead of original?,,,,,Draw 1 if you roll a 4,Draw 1,,,,,,,,YES,Yes,Main,1
FINISH,END,First,You Completed project!,YOU ARE done! Calculate final score.,,,,,,,,,,,,,,No,No,Main,
FINISH,END,Subsequent,You Completed project!,YOU ARE done! Calculate final score.,,,,,,,,,,,,,,No,No,Main,
